Fa,Fs,beta,dim,isDynamic,isFock,mass2,massratio,order,rs,spin,Σw,Σw.err,μ,μ.err
-0.0,-1.0,100.0,3,true,false,1.0e-5,1.0,110,5.0,2,0.36093602669648184,0.013924212519488176,1.2725286926592958,0.0009631789038005305
-0.0,-1.0,100.0,3,true,false,1.0e-5,1.0,200,5.0,2,0.3949283342871332,0.02327730893159384,0.5600899915889063,0.0028372253189891386
-0.0,-1.0,100.0,3,true,false,1.0e-5,1.0,101,5.0,2,0.08037177619646604,0.0003950098430581328,-0.1394378125335217,0.0004955689372358165
-0.0,-1.0,100.0,3,true,false,1.0e-5,1.0,100,5.0,2,0.5510746235782971,0.0008753700088002254,0.3970828897513155,0.0005235004998720929
-0.0,-0.0,100.0,3,true,false,1.0e-5,1.0,110,5.0,2,0.5589883593286551,0.01254000875854489,1.055152052072795,0.0006491626167474116
-0.0,-0.0,100.0,3,true,false,1.0e-5,1.0,200,5.0,2,0.3169019919160197,0.015854055354574896,0.3922916256945903,0.0013170123247343661
-0.0,-0.0,100.0,3,true,false,1.0e-5,1.0,101,5.0,2,0.09023112769420957,0.0003164869839111227,-0.05568520749955853,7.568692073767287e-5
-0.0,-0.0,100.0,3,true,false,1.0e-5,1.0,100,5.0,2,0.6712254383967416,0.0008664693368400172,0.3388306351650962,0.00019984261371891902
-0.0,-0.585,100.0,3,true,false,1.0e-5,1.0,110,5.0,2,0.406954909446302,0.013223463224429195,1.1762568091665946,0.0008056248417607695
-0.0,-0.585,100.0,3,true,false,1.0e-5,1.0,200,5.0,2,0.3086474735995902,0.015906353967171043,0.4246898552881485,0.0015996938013264387
-0.0,-0.585,100.0,3,true,false,1.0e-5,1.0,101,5.0,2,0.10116506960832272,0.00030862701191583834,-0.04804882993952044,0.00016474965182640788
-0.0,-0.585,100.0,3,true,false,1.0e-5,1.0,100,5.0,2,0.5756406014189082,0.0008061080535998802,0.3163962776017101,0.00024475598967641144
-0.0,-0.585,25.0,3,true,false,1.0e-5,1.0,110,5.0,2,0.38188961638393754,0.005413022641293151,1.1819175950443934,0.0006202622521583188
-0.0,-0.585,25.0,3,true,false,1.0e-5,1.0,200,5.0,2,0.26428310968545793,0.007436521771270073,0.4242333612929705,0.0011376951260367123
-0.0,-0.585,25.0,3,true,false,1.0e-5,1.0,101,5.0,2,0.07192745095137357,0.0002362896350560586,-0.04804566805862485,0.0001571277166622864
-0.0,-0.585,25.0,3,true,false,1.0e-5,1.0,100,5.0,2,0.5346367712592016,0.0006270842440202327,0.31656662151975623,0.00023159443150812676
-0.0,-1.0,25.0,3,true,false,1.0e-5,1.0,110,5.0,2,0.3400445727763375,0.005707563670249899,1.2794834228805274,0.0006946760431776938
-0.0,-1.0,25.0,3,true,false,1.0e-5,1.0,200,5.0,2,0.3424233820027743,0.011470968415452963,0.5664694944232178,0.002087466021895788
-0.0,-1.0,25.0,3,true,false,1.0e-5,1.0,101,5.0,2,0.051791244414467925,0.0003250610731190929,-0.14048329873269602,0.0004766504530895933
-0.0,-1.0,25.0,3,true,false,1.0e-5,1.0,100,5.0,2,0.5127874874506541,0.000691593947445634,0.3983150474679919,0.0004972954158408051
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,110,5.0,2,0.5185674402421023,0.005445309361904023,1.0601853420362723,0.0005477812938515711
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,200,5.0,2,0.28520015975342056,0.006770141856358523,0.3925780813520329,0.0008652039468744895
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,101,5.0,2,0.05745916053524217,0.0002516927337740176,-0.05558263940140715,7.008149887591114e-5
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,100,5.0,2,0.6210279096123484,0.0006791373587524674,0.33826639485347343,0.00018781760257880235
