Fa,Fs,beta,dim,isDynamic,isFock,mass2,massratio,order,partition,rs,spin,Σw,Σw.err,μ,μ.err
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,121,1.0,2,0.0,8.148023487204334e-11,0.00039302203959859185,2.3358575815463764e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,400,1.0,2,0.18758919570295468,0.0002674869948652773,0.025367247524810527,0.0004962414367660941
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,102,1.0,2,0.0,8.148023487204334e-11,0.0854561636173247,3.24325530483717e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,110,1.0,2,0.0,8.148023487204334e-11,0.2288910833397648,7.566930338100857e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,200,1.0,2,0.09071022465795013,2.9426707345070706e-5,0.2265466236705393,0.0001615855015704869
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,112,1.0,2,0.0,8.148023487204334e-11,0.041252993227570464,1.4421446385575245e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,202,1.0,2,0.11957070578117153,3.78000227247166e-5,0.08814023267121676,7.153841064109948e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,210,1.0,2,0.015854262842835313,4.534379527881655e-5,0.023998234840445262,0.00014227791457042935
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,101,1.0,2,0.0,8.148023487204334e-11,0.19067561802366856,7.067307824946446e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,300,1.0,2,-0.12048860385294134,6.373509125317257e-5,0.005509655254196704,0.00014979654854465742
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,120,1.0,2,0.0,8.148023487204334e-11,0.005332611305784672,6.784512979556747e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,201,1.0,2,0.11194775303343932,3.522801018742517e-5,0.13710183667156556,9.309740541258671e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,310,1.0,2,-0.05397181615208335,0.00023401815351599788,0.012470175532887689,0.0005050934312929459
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,111,1.0,2,0.0,8.148023487204334e-11,0.0776717214340013,2.584014606346185e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,103,1.0,2,0.0,8.148023487204334e-11,0.048807246352500895,1.9559371548745794e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,130,1.0,2,0.0,8.148023487204334e-11,-0.0024009675067942736,0.00017357648303440267
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,211,1.0,2,0.01762079675491375,5.796341095640221e-5,-0.019787063149800742,0.00011008222561102257
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,220,1.0,2,-0.011017132777003233,0.00012840584095434623,-0.013615575026252111,0.0004298428840714371
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,301,1.0,2,-0.27918797005186763,0.0001302792628093641,-0.027280106955588166,0.00018306936804837962
-0.0,-0.0,40.0,3,false,false,1.0,1.0,4,100,1.0,2,0.0,8.148023487204334e-11,0.6132263896397753,0.00022691870627467476
