Fa,Fs,beta,dim,isDynamic,isFock,mass2,massratio,order,rs,spin,Σw,Σw.err,μ,μ.err
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,102,1.0,2,-0.015021529575922623,9.759821588384103e-6,-0.024140193062216906,2.1700994030542017e-5
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,111,1.0,2,-0.0005383297342522194,9.421428850274115e-6,0.08186025178437387,2.958240699764774e-5
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,110,1.0,2,0.003867224651555374,1.9742164559527363e-5,0.3349781544124792,7.036649755380119e-5
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,120,1.0,2,-0.024489235942600752,4.762767284627247e-5,0.007572523570613581,3.697293742280184e-5
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,200,1.0,2,0.014912314890820325,0.0002898778458754723,0.551066270577598,0.0006226041686952967
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,201,1.0,2,0.018426390381690364,0.0021975078995597978,0.1162149256284431,0.0017135939735673654
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,210,1.0,2,-0.0710128766388037,0.0009244096716115865,0.046224824257502004,0.0013805079042692534
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,101,1.0,2,-0.011278452469898717,1.9333978155980922e-5,-0.12051109614800193,8.427824026503855e-5
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,300,1.0,2,-0.07140100230054218,0.054330854196717446,0.14545820552575367,0.07606065478307085
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,100,1.0,2,0.1278832681912318,6.630258031420933e-5,1.3941371516478336,0.00030676006287164745
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,102,1.0,2,-0.015402711645250837,2.693906096035205e-6,-0.024109375270096583,6.454589478275848e-6
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,111,1.0,2,-0.0005377013516947391,2.6982992588285987e-6,0.0809538941434093,8.266573360367968e-6
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,110,1.0,2,0.0038562004391467126,5.703563922119949e-6,0.33337148861090765,2.007212364544135e-5
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,120,1.0,2,-0.023022186666595543,1.1001609271372617e-5,0.007574186216066288,1.088750626565745e-5
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,200,1.0,2,0.015196529006274277,6.644599194276887e-5,0.5456265166872909,0.00015438777545850478
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,201,1.0,2,0.019777428331047633,0.00020831385654948044,0.11279323566807578,0.0001927304289849567
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,210,1.0,2,-0.06637948625432126,0.00019280749875505513,0.04486731337035086,0.0002991238887581096
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,101,1.0,2,-0.011968265862583297,5.304979643507968e-6,-0.12039564699097481,2.4676543089192794e-5
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,300,1.0,2,-0.05310304650032669,0.003243666675856429,0.05592983781155144,0.0048146341726398
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,100,1.0,2,0.12643815716095227,1.8494902782311177e-5,1.3873109999707283,9.077171485459105e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,102,1.0,2,-0.016435317734064977,2.4705467162675938e-6,-0.024079423642471037,6.237916408600553e-6
-0.0,-0.0,25.0,3,true,false,0.001,1.0,111,1.0,2,-0.0005614182419857373,2.4732467666282493e-6,0.0784970469677354,7.531048955625528e-6
-0.0,-0.0,25.0,3,true,false,0.001,1.0,110,1.0,2,0.0038337424092752706,5.40995878032782e-6,0.3289956209576852,1.904850481439891e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,120,1.0,2,-0.018791406923909626,9.17758922795973e-6,0.0075601883242854915,1.0503716955534145e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,200,1.0,2,0.0164686924808085,5.0277073923511674e-5,0.5324577621668528,0.00012314208790839998
-0.0,-0.0,25.0,3,true,false,0.001,1.0,201,1.0,2,0.021642241699993167,8.116957271232698e-5,0.10853474944743163,9.558564467661068e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,210,1.0,2,-0.05308315209314724,0.00013479169124443167,0.04584966571596432,0.00020987291606632197
-0.0,-0.0,25.0,3,true,false,0.001,1.0,101,1.0,2,-0.01379914351195461,4.887674520998499e-6,-0.12033961332384406,2.3999587772082936e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,300,1.0,2,-0.04448673738037592,0.0010361798978516478,0.05399771694990433,0.0015650419328959082
-0.0,-0.0,25.0,3,true,false,0.001,1.0,100,1.0,2,0.1222398053356379,1.7194968168534528e-5,1.366053070772429,8.707711481411462e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,102,1.0,2,-0.01854316653048258,6.97499557740842e-6,-0.023770879980049665,1.8328779553502877e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,111,1.0,2,-0.0006738661624809869,6.330210267537137e-6,0.071480246968417,2.025396217502731e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,110,1.0,2,0.0036755550293311955,1.4517332499539397e-5,0.3157901097494139,5.577699455028568e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,120,1.0,2,-0.010604581588552712,2.3228535420674104e-5,0.007444091371647735,3.146697292855584e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,200,1.0,2,0.01939358156392976,0.00010601458585568573,0.4933799962789476,0.00029272517514957944
-0.0,-0.0,25.0,3,true,false,0.01,1.0,201,1.0,2,0.02549439626612214,0.000105648134167393,0.09530727089854077,0.00016272699127484048
-0.0,-0.0,25.0,3,true,false,0.01,1.0,210,1.0,2,-0.027347275381378336,0.0002502159503617975,0.046316330485951386,0.00039858793018116196
-0.0,-0.0,25.0,3,true,false,0.01,1.0,101,1.0,2,-0.01837929942209251,1.3475880310102251e-5,-0.11969151878096473,7.234387737160574e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,300,1.0,2,-0.02807580412455788,0.0010154371048563765,0.060725897411713844,0.001631314476360747
-0.0,-0.0,25.0,3,true,false,0.01,1.0,100,1.0,2,0.11024206382283365,4.8335643157737955e-5,1.3017088220069282,0.0002558507487201653
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,102,2.0,2,-0.015070964326733721,1.9888318001337282e-5,-0.020862719358133514,1.3800696776430516e-5
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,111,2.0,2,-0.0018142665573929577,6.717995044519708e-5,0.15407258429438433,5.275841963850475e-5
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,110,2.0,2,0.03311020395666282,0.00012456483077194133,0.5587084575733857,0.00010391313514817407
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,120,2.0,2,-0.532190598201949,0.0008902086233067354,0.05748192798847624,0.00020774252860136517
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,200,2.0,2,0.039031689578492554,0.0006538886785069091,0.47519807871953756,0.0004082093044338109
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,201,2.0,2,0.0011137268571155855,0.0032112325419447947,0.09682552616260615,0.0006874251931238537
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,210,2.0,2,-0.8353902469109623,0.007367964702873374,0.2327506017072685,0.003129920768593774
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,101,2.0,2,0.0003672244568362922,3.6110141431043734e-5,-0.08912945483029212,4.9753502075711094e-5
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,300,2.0,2,-0.27211569577353495,0.08781113064559125,0.2607679589368058,0.04502883910755701
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,100,2.0,2,0.2621770890076268,0.00011259404313804297,0.7468751019680919,0.0001557903060327808
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,102,2.0,2,-0.016448832729100023,5.722964047424762e-6,-0.020849076167377634,4.309013273418804e-6
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,111,2.0,2,-0.0018372971546653754,1.963860191101871e-5,0.15181503670212668,1.5479994149249697e-5
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,110,2.0,2,0.03294154092568779,3.800580793560253e-5,0.5547147078052432,3.165912700306498e-5
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,120,2.0,2,-0.4859475512299737,0.0002454213361436741,0.0574256662524716,6.479183704072235e-5
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,200,2.0,2,0.03960175863317181,0.0001639693399408992,0.4684667631457114,0.0001083735854687496
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,201,2.0,2,0.0035694459111615252,0.00036992083372692716,0.09493753144033544,0.00010234793722481206
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,210,2.0,2,-0.7588299238539797,0.0017076828151930696,0.22838206713042694,0.0007295469238711083
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,101,2.0,2,-0.0016271604459566073,1.0750164278781983e-5,-0.0891054568861323,1.5438583375170457e-5
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,300,2.0,2,-0.29063116771451897,0.008305953866414525,0.152821870450774,0.004001095939644264
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,100,2.0,2,0.2581809330707871,3.4075671128423114e-5,0.7399626662809375,4.7590440288638004e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,102,2.0,2,-0.02027748073081526,5.2170017489861795e-6,-0.020790658984105783,4.170037735381032e-6
-0.0,-0.0,25.0,3,true,false,0.001,1.0,111,2.0,2,-0.002100495905178409,1.7589253533836897e-5,0.14550283954478938,1.3972678276954633e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,110,2.0,2,0.03265256695498584,3.437157475926311e-5,0.5429995851586473,2.9889029184540785e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,120,2.0,2,-0.3725139116159035,0.0002110212938293255,0.0574688696645731,6.182203496111113e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,200,2.0,2,0.04128640585299372,0.00012183040189204893,0.4481243753942592,8.553269158140886e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,201,2.0,2,0.00998037893020536,0.00015424887030009268,0.08840037444138855,5.807385009359641e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,210,2.0,2,-0.5676557772121638,0.0011453551046073298,0.22466028493653858,0.00047572047522177014
-0.0,-0.0,25.0,3,true,false,0.001,1.0,101,2.0,2,-0.007286126933537908,9.79319893134277e-6,-0.08898201964383065,1.5193210539035289e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,300,2.0,2,-0.2144743731102669,0.0028051107443701376,0.14693152572222143,0.0013410511339532244
-0.0,-0.0,25.0,3,true,false,0.001,1.0,100,2.0,2,0.24650160817974728,3.177023838526605e-5,0.7190395873154898,4.568443995637301e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,102,2.0,2,-0.028161114713912562,1.3730457847244196e-5,-0.02018929330230895,1.1975341504231228e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,111,2.0,2,-0.003652978504855629,4.170852001406409e-5,0.12763738448842937,3.5869598122132096e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,110,2.0,2,0.030939459718265092,8.902897995338141e-5,0.5078202367885672,8.519428331753698e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,120,2.0,2,-0.1861711203120469,0.0005131946614815431,0.056191624504801974,0.0001815891744705781
-0.0,-0.0,25.0,3,true,false,0.01,1.0,200,2.0,2,0.04430432188398322,0.00024334636702059132,0.3900405859083331,0.00019344223497630737
-0.0,-0.0,25.0,3,true,false,0.01,1.0,201,2.0,2,0.023101614945065387,0.0002045835660734178,0.07013606557267493,0.00010234089730336299
-0.0,-0.0,25.0,3,true,false,0.01,1.0,210,2.0,2,-0.2533016681679139,0.0019175931797705886,0.21469822653632206,0.0008093954218581653
-0.0,-0.0,25.0,3,true,false,0.01,1.0,101,2.0,2,-0.021080460366888164,2.5475395331762964e-5,-0.08781192647489568,4.4994188356891556e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,300,2.0,2,-0.0985728866991161,0.0027318893862641586,0.1312517423910164,0.0014193413240067376
-0.0,-0.0,25.0,3,true,false,0.01,1.0,100,2.0,2,0.21343148768212578,8.513492023588332e-5,0.6568297365670681,0.00012893917530232982
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,102,3.0,2,-0.011242332477032943,3.0099081633380913e-5,-0.018647082185085775,1.0888956804030169e-5
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,111,3.0,2,-0.0011125258583428263,0.0002074932013572868,0.2195164038648592,7.529361073356811e-5
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,110,3.0,2,0.11232622475640926,0.00037251551555188294,0.745518899022114,0.00013290720908418677
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,120,3.0,2,-3.0533174760934787,0.005215543905896467,0.18536173155021893,0.0005850789717208754
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,200,3.0,2,0.09032461229679281,0.0011200170268578656,0.4360477533253193,0.0003397689101461535
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,201,3.0,2,-0.022527943070926214,0.00430946555689142,0.08740554427842723,0.0004504116891610991
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,210,3.0,2,-3.3422986584675454,0.026791446312258126,0.5023932717731229,0.005332448813205736
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,101,3.0,2,0.017269226721348112,5.3187520390105876e-5,-0.07309596558935139,3.807719002654751e-5
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,300,3.0,2,-0.9121663546079778,0.14963464252310554,0.1860814781988195,0.03797382918755109
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,100,3.0,2,0.388187452881006,0.0001585510914637986,0.5237076261283008,0.00010835629405585228
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,102,3.0,2,-0.013920400546638774,8.79912828072849e-6,-0.018634509900430158,3.350828589026045e-6
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,111,3.0,2,-0.0013649376420479561,6.108399143850924e-5,0.21581839819783133,2.24519447989248e-5
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,110,3.0,2,0.112420560167157,0.00011196096260762892,0.7385523157967135,4.049353411767091e-5
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,120,3.0,2,-2.743181139472688,0.0015102267754721398,0.18483389546958298,0.0001797935414713337
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,200,3.0,2,0.09184507288309003,0.00028573919971589136,0.4276275259445935,8.87878264271661e-5
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,201,3.0,2,-0.015094727249160637,0.0005269320181945788,0.08443955085357734,7.565867121165444e-5
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,210,3.0,2,-2.9685185218190173,0.006137223769801465,0.499076766554209,0.0011859454068743867
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,101,3.0,2,0.013595879555534571,1.592578979102061e-5,-0.07306529703310125,1.18316600839506e-5
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,300,3.0,2,-0.8077842361985578,0.015055674710442075,0.22576784973985495,0.003753831830958102
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,100,3.0,2,0.3812745599395817,4.7969438632444197e-5,0.5168699219893576,3.3490087023550116e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,102,3.0,2,-0.021206370742594623,7.782099363332618e-6,-0.018536474276810735,3.233917722226567e-6
-0.0,-0.0,25.0,3,true,false,0.001,1.0,111,3.0,2,-0.002505899351951039,5.265799337052887e-5,0.20477342282963962,1.97091753815973e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,110,3.0,2,0.11133415199271632,9.899187095231343e-5,0.7174163773004968,3.8856729557803054e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,120,3.0,2,-2.0175635210009304,0.0013133237165899071,0.18454165355513177,0.0001717362678896798
-0.0,-0.0,25.0,3,true,false,0.001,1.0,200,3.0,2,0.09199011918925523,0.0002083568333798322,0.4016374630256033,6.973599344741402e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,201,3.0,2,-0.005477150416718533,0.0002302923581508504,0.07594727599691573,4.510259533229961e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,210,3.0,2,-2.1042424883463955,0.003973459197376402,0.486836487180143,0.0007556026659674488
-0.0,-0.0,25.0,3,true,false,0.001,1.0,101,3.0,2,0.003205659015546558,1.4441728198354228e-5,-0.07289636871576119,1.151509712480539e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,300,3.0,2,-0.5463534556283955,0.0052738745140799926,0.2144157329594537,0.0013029570497144992
-0.0,-0.0,25.0,3,true,false,0.001,1.0,100,3.0,2,0.3601540961944859,4.537441869126512e-5,0.49605452961965935,3.1951308942220344e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,102,3.0,2,-0.03581493949021498,1.9648739918088295e-5,-0.017701208606034077,9.20789575365111e-6
-0.0,-0.0,25.0,3,true,false,0.01,1.0,111,3.0,2,-0.008996205861737062,0.00012128661400453556,0.17380514191261573,4.961498117164478e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,110,3.0,2,0.10293455671182088,0.0002495797644222146,0.6550616969549687,0.00010724538670659361
-0.0,-0.0,25.0,3,true,false,0.01,1.0,120,3.0,2,-0.9421098599055365,0.0030637451689932964,0.18001264608512124,0.0004756869028681181
-0.0,-0.0,25.0,3,true,false,0.01,1.0,200,3.0,2,0.08654322275743057,0.00040548959999518844,0.3302071578946235,0.0001502204888275012
-0.0,-0.0,25.0,3,true,false,0.01,1.0,201,3.0,2,0.014702289690597918,0.00030473792422907995,0.05427089296519293,7.886810695419447e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,210,3.0,2,-0.8500677540867208,0.006293929547046266,0.4400308150277158,0.0012406107067986913
-0.0,-0.0,25.0,3,true,false,0.01,1.0,101,3.0,2,-0.021479051383197303,3.65783536530667e-5,-0.07132319475292473,3.378767233024127e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,300,3.0,2,-0.20062924734928594,0.005263149777661775,0.1697430735237873,0.001359596165763195
-0.0,-0.0,25.0,3,true,false,0.01,1.0,100,3.0,2,0.30123095784115317,0.00011641686959194063,0.4361150957445597,8.70492737455322e-5
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,102,4.0,2,-0.005245245019400462,3.983982215715511e-5,-0.016983630529309866,8.95448954031684e-6
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,111,4.0,2,0.006044469695716589,0.00045503820227402663,0.2801274904048432,9.793120585137073e-5
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,110,4.0,2,0.26741853330638343,0.0007952978129121323,0.9105737612000822,0.00016061977818521272
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,120,4.0,2,-10.358610994205327,0.019095152866908948,0.4183608028601472,0.0011700344378818164
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,200,4.0,2,0.17355808877823836,0.001697416055176203,0.4105828068072585,0.0002971215326322305
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,201,4.0,2,-0.04136415297607423,0.005490128564204102,0.08102455675493006,0.00035262306900302155
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,210,4.0,2,-8.87338868215964,0.06658468565580775,0.8620070626383471,0.007743955146952785
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,101,4.0,2,0.036703505891869354,6.984814227805824e-5,-0.0628349942442531,3.1009229189618036e-5
-0.0,-0.0,25.0,3,true,false,1.0e-5,1.0,300,4.0,2,-1.970827554172931,0.21792104399359197,0.28124287427624484,0.03625950257291305
