Fa,Fs,beta,dim,isDynamic,isFock,mass2,massratio,order,rs,spin,Σw,Σw.err,μ,μ.err
-0.0,-0.0,25.0,3,true,false,0.0003,1.0,102,1.0,2,0.0005003537891213221,1.227138525926079e-6,-0.024111513294610584,4.23439671435142e-6
-0.0,-0.0,25.0,3,true,false,0.0003,1.0,111,1.0,2,-3.4453742213659616e-5,1.1919215434089055e-6,0.08009288511702453,5.483900782975049e-6
-0.0,-0.0,25.0,3,true,false,0.0003,1.0,110,1.0,2,0.004668809137460419,2.3990909424702854e-6,0.33186139951592597,1.505085461668733e-5
-0.0,-0.0,25.0,3,true,false,0.0003,1.0,120,1.0,2,-0.03504252657467923,4.710484147019775e-6,0.007577916239809317,7.094891180264276e-6
-0.0,-0.0,25.0,3,true,false,0.0003,1.0,200,1.0,2,-0.0006459614318616016,2.622137591903202e-5,0.5410262353718683,9.850622546802612e-5
-0.0,-0.0,25.0,3,true,false,0.0003,1.0,201,1.0,2,-0.013412901398698888,5.9391629701492075e-5,0.11137285002266527,8.884463079734351e-5
-0.0,-0.0,25.0,3,true,false,0.0003,1.0,210,1.0,2,-0.1086332550918694,7.383850097877063e-5,0.04495507238783752,0.00017047651162218385
-0.0,-0.0,25.0,3,true,false,0.0003,1.0,101,1.0,2,0.008223830418226547,2.1197633606115884e-6,-0.12039144352833327,1.5487711298989387e-5
-0.0,-0.0,25.0,3,true,false,0.0003,1.0,300,1.0,2,-0.07463711353030045,0.0009569221905306293,0.060212090115554,0.002109154326363057
-0.0,-0.0,25.0,3,true,false,0.0003,1.0,100,1.0,2,0.16008420451861813,6.721681138583112e-6,1.380080991046908,6.478437453818262e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,102,1.0,2,-0.000505861279467208,1.142808164086997e-6,-0.024076332689296136,4.190722333149227e-6
-0.0,-0.0,25.0,3,true,false,0.001,1.0,111,1.0,2,-4.7636610485557894e-5,1.1415324715160694e-6,0.07848769525838528,5.174521062373101e-6
-0.0,-0.0,25.0,3,true,false,0.001,1.0,110,1.0,2,0.004664799206918192,2.2933114490353594e-6,0.32897375997119915,1.475878282048179e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,120,1.0,2,-0.033176424940780914,4.345670284534731e-6,0.007568026349337514,6.979619540191509e-6
-0.0,-0.0,25.0,3,true,false,0.001,1.0,200,1.0,2,0.00020661017110297952,2.239860513005033e-5,0.5323195591248412,8.835213973992368e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,201,1.0,2,-0.011732528491505054,3.819969866254245e-5,0.10846528043467737,6.285401170757948e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,210,1.0,2,-0.10210058651418567,6.010930279529188e-5,0.04558858852044779,0.00014024499796218967
-0.0,-0.0,25.0,3,true,false,0.001,1.0,101,1.0,2,0.006882996654277356,1.9971012542926927e-6,-0.1203230093624799,1.5195017883240174e-5
-0.0,-0.0,25.0,3,true,false,0.001,1.0,300,1.0,2,-0.06885730046842808,0.0005250782891045323,0.057336523464919666,0.0011849001335826476
-0.0,-0.0,25.0,3,true,false,0.001,1.0,100,1.0,2,0.15741011533716334,6.46733946757047e-6,1.3658608509636196,6.31646301657141e-5
-0.0,-0.0,25.0,3,true,false,0.003,1.0,102,1.0,2,-0.002040698960645704,1.040503829457648e-6,-0.024001995472980046,4.067037674278802e-6
-0.0,-0.0,25.0,3,true,false,0.003,1.0,111,1.0,2,-7.274936014827605e-5,1.0676118328408446e-6,0.07599257390194195,4.8399856418108114e-6
-0.0,-0.0,25.0,3,true,false,0.003,1.0,110,1.0,2,0.004633599414913783,2.1487500026600485e-6,0.3243979432018579,1.4163121082589098e-5
-0.0,-0.0,25.0,3,true,false,0.003,1.0,120,1.0,2,-0.03048706606245585,3.9885499591675335e-6,0.007544490620436366,6.83830502874498e-6
-0.0,-0.0,25.0,3,true,false,0.003,1.0,200,1.0,2,0.0014620300061634083,1.8830646474375606e-5,0.5186590199593665,7.745045034639353e-5
-0.0,-0.0,25.0,3,true,false,0.003,1.0,201,1.0,2,-0.008940815270730205,2.5847889574956187e-5,0.10387739835385956,4.7845862293951805e-5
-0.0,-0.0,25.0,3,true,false,0.003,1.0,210,1.0,2,-0.09246123189164773,4.848239085241153e-5,0.04619820183963115,0.00011318074725892285
-0.0,-0.0,25.0,3,true,false,0.003,1.0,101,1.0,2,0.004802785579185178,1.8840600679993131e-6,-0.12016990045222273,1.5010751862966285e-5
-0.0,-0.0,25.0,3,true,false,0.003,1.0,300,1.0,2,-0.061841342256421204,0.00029932613172163467,0.05687778386099828,0.0006981971234599933
-0.0,-0.0,25.0,3,true,false,0.003,1.0,100,1.0,2,0.15321015452409642,6.172571428080014e-6,1.3435376470178548,6.149749867690088e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,102,1.0,2,-0.004732359637906544,9.123553619950225e-7,-0.02375258051043895,3.8761650140461665e-6
-0.0,-0.0,25.0,3,true,false,0.01,1.0,111,1.0,2,-0.00014853797922583252,9.512460463749777e-7,0.0714540374885053,4.338944196881115e-6
-0.0,-0.0,25.0,3,true,false,0.01,1.0,110,1.0,2,0.004551488355421339,1.9417877859605623e-6,0.31579992361278586,1.3334739807841522e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,120,1.0,2,-0.026040752939595808,3.54585056331322e-6,0.0074984657778590326,6.525018258195061e-6
-0.0,-0.0,25.0,3,true,false,0.01,1.0,200,1.0,2,0.0037825714221740507,1.4907631377662024e-5,0.4934020629255569,6.542782400721102e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,201,1.0,2,-0.004130806075310126,1.65409951628684e-5,0.09546157428519339,3.523214150294849e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,210,1.0,2,-0.07670032966054664,3.6285068078530256e-5,0.047054708224434624,8.430774247961154e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,101,1.0,2,0.0010461753254971005,1.7039927425916767e-6,-0.11967158907196992,1.4365157736766276e-5
-0.0,-0.0,25.0,3,true,false,0.01,1.0,300,1.0,2,-0.05066033213183814,0.000158078299945787,0.056476755633434066,0.00038506517859095347
-0.0,-0.0,25.0,3,true,false,0.01,1.0,100,1.0,2,0.14529936062724305,5.673059059442683e-6,1.301130502833214,5.8600883807901004e-5
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,102,2.0,2,0.005540767117181944,2.418028802227107e-6,-0.020849849160859264,2.9382099933399438e-6
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,111,2.0,2,0.00012088363424000055,8.20627502434395e-6,0.15177293764164793,1.0636803051106505e-5
-0.0,-0.0,25.0,3,true,false,0.0001,1.0,110,2.0,2,0.03750022597056056,1.6332677945966654e-5,0.5546212082008078,2.4813099281110708e-5
