x1,x2,x3,x4,x5
1.0,0,1,1,1
1.0,0,1,1,1
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,1,1,2,11
1.0,1,2,2,5
1.0,1,2,3,11
1.0,1,3,1,11
1.0,3,3,3,8
1.0,2,1,1,13
1.0,2,2,2,19
1.0,2,3,3,20
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,1,1,3,11
1.0,3,2,2,5
1.0,1,2,3,8
1.0,1,3,2,8
1.0,2,2,2,21
1.0,2,3,3,22
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,3,2,3,8
1.0,1,2,3,17
1.0,1,3,2,25
1.0,2,2,2,20
1.0,0,3,3,1
1.0,0,3,3,1
1.0,2,3,3,23
1.0,0,2,2,1
1.0,0,2,2,1
1.0,2,2,2,9
1.0,3,3,1,11
1.0,1,3,3,8
1.0,3,2,3,17
1.0,3,2,3,11
1.0,3,3,2,8
1.0,3,3,2,25
1.0,3,1,2,11
1.0,3,1,3,11
1.0,0,1,1,1
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,1,1,3,5
1.0,1,2,3,12
1.0,3,3,1,17
1.0,2,2,2,14
1.0,2,3,3,14
1.0,0,3,3,1
1.0,0,3,3,1
1.0,2,3,3,18
1.0,0,2,2,1
1.0,0,2,2,1
1.0,2,2,2,16
1.0,0,2,2,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,3,2,1,17
1.0,1,3,2,5
1.0,2,3,3,21
1.0,0,2,2,1
1.0,0,1,1,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,1,1,2,8
1.0,1,2,1,12
1.0,3,3,3,5
1.0,1,3,2,11
1.0,2,3,3,19
1.0,0,3,3,1
1.0,0,3,3,1
1.0,3,2,3,12
1.0,1,3,1,12
1.0,1,3,3,5
1.0,2,3,3,15
1.0,1,3,1,17
1.0,3,3,2,11
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,1,1,2,5
1.0,1,3,2,10
1.0,2,2,2,23
1.0,0,3,3,1
1.0,0,3,3,1
1.0,2,3,3,24
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,1,1,3,8
1.0,3,2,1,12
1.0,1,3,2,26
1.0,0,3,3,1
1.0,0,3,3,1
1.0,0,2,2,1
1.0,0,2,2,1
1.0,2,2,2,27
1.0,3,3,1,12
1.0,1,2,1,17
1.0,3,3,2,5
1.0,3,3,2,10
1.0,3,3,2,26
1.0,3,1,2,8
1.0,3,1,3,5
1.0,3,1,2,5
1.0,3,1,3,8
