x1,x2,x3,x4,x5,x6
1.0,1,"[1, 0, 0]",1,2,1
1.0,1,"[0, 0, 0]",2,3,3
1.0,1,"[0, 0, 0]",3,4,8
1.0,1,"[0, 0, 0]",4,5,20
1.0,1,"[0, 0, 0]",5,5,54
1.0,2,"[0, 0, 0]",1,1,55
1.0,1,"[0, 0, 0]",5,4,20
1.0,2,"[0, 0, 0]",1,1,21
1.0,1,"[0, 0, 0]",4,3,8
1.0,1,"[0, 0, 0]",4,5,20
1.0,1,"[0, 0, 0]",4,5,54
1.0,1,"[0, 0, 0]",5,4,56
1.0,2,"[0, 0, 0]",1,1,21
1.0,2,"[0, 0, 0]",1,1,57
1.0,2,"[0, 0, 0]",1,1,21
1.0,2,"[0, 0, 0]",1,1,58
1.0,1,"[0, 0, 0]",5,3,8
1.0,1,"[0, 0, 0]",4,4,20
1.0,1,"[0, 0, 0]",4,5,8
1.0,2,"[0, 0, 0]",1,1,58
1.0,2,"[0, 0, 0]",1,1,9
1.0,1,"[0, 0, 0]",3,2,3
1.0,1,"[0, 0, 0]",3,4,8
1.0,1,"[0, 0, 0]",3,4,20
1.0,1,"[0, 0, 0]",4,5,22
1.0,2,"[0, 0, 0]",1,1,59
1.0,1,"[0, 0, 0]",5,3,22
1.0,2,"[0, 0, 0]",1,1,9
1.0,2,"[0, 0, 0]",1,1,23
1.0,2,"[0, 0, 0]",1,1,9
1.0,2,"[0, 0, 0]",1,1,24
1.0,1,"[0, 0, 0]",3,5,8
1.0,1,"[0, 0, 0]",5,4,60
1.0,2,"[0, 0, 0]",1,1,23
1.0,2,"[0, 0, 0]",1,1,61
1.0,2,"[0, 0, 0]",1,1,23
1.0,2,"[0, 0, 0]",1,1,59
1.0,1,"[0, 0, 0]",3,5,8
1.0,1,"[0, 0, 0]",5,4,8
1.0,1,"[0, 0, 0]",4,3,22
1.0,1,"[0, 0, 0]",4,2,3
1.0,1,"[0, 0, 0]",4,5,62
1.0,2,"[0, 0, 0]",1,1,57
1.0,2,"[0, 0, 0]",1,1,63
1.0,2,"[0, 0, 0]",1,1,64
1.0,1,"[0, 0, 0]",4,4,54
1.0,2,"[0, 0, 0]",1,1,55
1.0,1,"[0, 0, 0]",4,5,20
1.0,2,"[0, 0, 0]",1,1,9
1.0,2,"[0, 0, 0]",1,1,24
1.0,1,"[0, 0, 0]",4,3,22
1.0,1,"[0, 0, 0]",5,4,65
1.0,2,"[0, 0, 0]",1,1,9
1.0,1,"[0, 0, 0]",5,2,3
1.0,1,"[0, 0, 0]",4,3,8
1.0,1,"[0, 0, 0]",3,5,3
1.0,2,"[0, 0, 0]",1,1,64
1.0,1,"[0, 0, 0]",3,4,8
1.0,1,"[0, 0, 0]",4,5,3
1.0,1,"[0, 0, 0]",3,3,8
1.0,1,"[0, 0, 0]",3,4,3
1.0,2,"[0, 0, 0]",1,1,24
1.0,1,"[0, 0, 0]",5,4,66
1.0,2,"[0, 0, 0]",1,1,24
1.0,2,"[0, 0, 0]",1,1,67
1.0,2,"[0, 0, 0]",1,1,24
1.0,2,"[0, 0, 0]",1,1,4
1.0,1,"[0, 0, 0]",2,1,1
1.0,1,"[0, 0, 0]",2,3,3
1.0,1,"[0, 0, 0]",2,3,8
1.0,1,"[0, 0, 0]",3,4,10
1.0,2,"[0, 0, 0]",1,1,25
1.0,1,"[0, 0, 0]",4,2,10
1.0,1,"[0, 0, 0]",5,4,68
1.0,2,"[0, 0, 0]",1,1,25
1.0,2,"[0, 0, 0]",1,1,69
1.0,2,"[0, 0, 0]",1,1,25
1.0,2,"[0, 0, 0]",1,1,70
1.0,1,"[0, 0, 0]",5,2,10
1.0,1,"[0, 0, 0]",4,5,10
1.0,2,"[0, 0, 0]",1,1,70
1.0,2,"[0, 0, 0]",1,1,4
1.0,2,"[0, 0, 0]",1,1,11
1.0,2,"[0, 0, 0]",1,1,4
1.0,2,"[0, 0, 0]",1,1,12
1.0,1,"[0, 0, 0]",2,4,3
1.0,1,"[0, 0, 0]",4,5,26
1.0,2,"[0, 0, 0]",1,1,71
1.0,1,"[0, 0, 0]",5,3,26
1.0,2,"[0, 0, 0]",1,1,11
1.0,2,"[0, 0, 0]",1,1,27
1.0,2,"[0, 0, 0]",1,1,11
1.0,2,"[0, 0, 0]",1,1,25
1.0,1,"[0, 0, 0]",4,5,72
1.0,2,"[0, 0, 0]",1,1,67
1.0,2,"[0, 0, 0]",1,1,73
1.0,1,"[0, 0, 0]",4,3,26
1.0,1,"[0, 0, 0]",2,5,3
1.0,1,"[0, 0, 0]",5,4,74
1.0,2,"[0, 0, 0]",1,1,29
1.0,2,"[0, 0, 0]",1,1,29
1.0,2,"[0, 0, 0]",1,1,71
1.0,2,"[0, 0, 0]",1,1,11
1.0,2,"[0, 0, 0]",1,1,25
1.0,1,"[0, 0, 0]",4,3,26
1.0,1,"[0, 0, 0]",5,4,75
1.0,2,"[0, 0, 0]",1,1,11
1.0,1,"[0, 0, 0]",2,4,3
1.0,1,"[0, 0, 0]",4,3,3
1.0,1,"[0, 0, 0]",5,3,3
1.0,1,"[0, 0, 0]",3,2,10
1.0,1,"[0, 0, 0]",2,5,3
1.0,1,"[0, 0, 0]",4,2,10
1.0,1,"[0, 0, 0]",5,4,3
1.0,1,"[0, 0, 0]",3,1,1
1.0,1,"[0, 0, 0]",3,5,28
1.0,2,"[0, 0, 0]",1,1,76
1.0,1,"[0, 0, 0]",5,4,28
1.0,2,"[0, 0, 0]",1,1,23
1.0,2,"[0, 0, 0]",1,1,29
1.0,2,"[0, 0, 0]",1,1,30
1.0,1,"[0, 0, 0]",3,5,28
1.0,1,"[0, 0, 0]",5,4,77
1.0,2,"[0, 0, 0]",1,1,33
1.0,2,"[0, 0, 0]",1,1,33
1.0,1,"[0, 0, 0]",3,4,28
1.0,1,"[0, 0, 0]",3,2,10
1.0,1,"[0, 0, 0]",4,5,31
1.0,2,"[0, 0, 0]",1,1,78
1.0,1,"[0, 0, 0]",5,3,31
