x1,x2,x3,x4,x5,x6
1.0,1,"[0, 0]",1,2,3
1.0,1,"[0, 0]",2,3,4
1.0,1,"[0, 0]",3,3,5
1.0,2,"[0, 0]",1,1,6
1.0,1,"[1, 0]",3,1,4
1.0,1,"[1, 0]",3,3,5
1.0,1,"[0, 0]",3,1,4
1.0,1,"[1, 0]",2,3,4
1.0,1,"[1, 0]",1,2,3
1.0,2,"[0, 0]",1,1,1
1.0,2,"[0, 0]",1,1,7
1.0,2,"[0, 0]",1,1,1
1.0,2,"[0, 0]",1,1,8
1.0,1,"[0, 0]",2,3,5
1.0,1,"[1, 0]",2,3,9
1.0,1,"[1, 0]",2,3,5
1.0,1,"[0, 0]",2,3,9
1.0,2,"[0, 0]",1,1,10
1.0,2,"[0, 0]",1,1,11
1.0,2,"[0, 0]",1,1,12
1.0,2,"[0, 0]",1,1,13
1.0,1,"[1, 0]",3,2,14
1.0,1,"[0, 0]",3,2,14
1.0,2,"[0, 0]",1,1,15
1.0,2,"[0, 0]",1,1,15
1.0,2,"[0, 0]",1,1,6
1.0,1,"[0, 0]",2,2,5
1.0,2,"[0, 0]",1,1,16
1.0,1,"[0, 0]",2,3,3
1.0,1,"[1, 0]",2,3,3
1.0,1,"[1, 0]",2,2,5
1.0,2,"[0, 0]",1,1,1
1.0,2,"[0, 0]",1,1,8
1.0,1,"[0, 0]",2,1,4
1.0,1,"[1, 0]",3,2,17
1.0,1,"[0, 0]",3,2,17
1.0,2,"[0, 0]",1,1,1
1.0,1,"[1, 0]",2,1,4
1.0,1,"[0, 0]",1,3,18
1.0,2,"[0, 0]",1,1,19
1.0,1,"[1, 0]",3,2,18
1.0,1,"[0, 0]",3,2,18
1.0,1,"[1, 0]",1,3,18
1.0,2,"[0, 0]",1,1,20
1.0,2,"[0, 0]",1,1,21
1.0,1,"[0, 0]",1,3,18
1.0,1,"[1, 0]",3,2,22
1.0,1,"[0, 0]",3,2,22
1.0,2,"[0, 0]",1,1,21
1.0,2,"[0, 0]",1,1,21
1.0,1,"[1, 0]",1,3,18
1.0,1,"[0, 0]",2,3,23
1.0,2,"[0, 0]",1,1,24
1.0,1,"[1, 0]",3,1,23
1.0,1,"[0, 0]",3,1,23
1.0,1,"[1, 0]",2,3,23
1.0,2,"[0, 0]",1,1,25
1.0,2,"[0, 0]",1,1,25
1.0,2,"[0, 0]",1,1,26
1.0,2,"[0, 0]",1,1,24
1.0,1,"[0, 0]",1,2,5
1.0,1,"[1, 0]",1,2,27
1.0,1,"[1, 0]",1,2,5
1.0,1,"[0, 0]",1,2,27
1.0,2,"[0, 0]",1,1,12
1.0,2,"[0, 0]",1,1,28
1.0,2,"[0, 0]",1,1,29
1.0,2,"[0, 0]",1,1,16
1.0,1,"[0, 0]",1,3,3
1.0,1,"[0, 0]",3,2,4
1.0,1,"[1, 0]",2,1,30
1.0,1,"[0, 0]",2,1,30
1.0,2,"[0, 0]",1,1,31
1.0,2,"[0, 0]",1,1,31
1.0,2,"[0, 0]",1,1,32
1.0,1,"[1, 0]",3,2,4
1.0,1,"[1, 0]",1,3,3
1.0,2,"[0, 0]",1,1,32
1.0,1,"[0, 0]",1,2,18
1.0,1,"[1, 0]",2,3,33
1.0,1,"[0, 0]",2,3,33
1.0,2,"[0, 0]",1,1,34
1.0,2,"[0, 0]",1,1,29
1.0,1,"[1, 0]",1,2,18
1.0,2,"[0, 0]",1,1,35
1.0,1,"[1, 0]",2,1,36
1.0,1,"[0, 0]",2,1,36
1.0,2,"[0, 0]",1,1,20
1.0,2,"[0, 0]",1,1,20
1.0,1,"[0, 0]",2,3,18
1.0,2,"[0, 0]",1,1,19
1.0,1,"[1, 0]",2,3,18
1.0,2,"[0, 0]",1,1,25
1.0,2,"[0, 0]",1,1,26
1.0,1,"[0, 0]",2,1,23
1.0,1,"[1, 0]",3,2,37
1.0,1,"[0, 0]",3,2,37
1.0,2,"[0, 0]",1,1,25
1.0,1,"[1, 0]",2,1,23
1.0,1,"[1, 0]",1,2,38
1.0,1,"[0, 0]",1,2,38
1.0,2,"[0, 0]",1,1,35
1.0,2,"[0, 0]",1,1,39
1.0,1,"[0, 0]",3,2,23
1.0,2,"[0, 0]",1,1,13
1.0,1,"[1, 0]",3,2,23
